,lsoa,lat,lon
590,E01000591,51.5875,-0.27701
591,E01000592,51.59741,-0.26867
592,E01000593,51.5957,-0.27552
593,E01000594,51.59384,-0.28294
594,E01000595,51.5445,-0.25833
595,E01000596,51.54728,-0.2622
596,E01000597,51.54263,-0.2676
597,E01000598,51.54266,-0.26157
598,E01000599,51.53992,-0.26055
599,E01000600,51.53548,-0.27188
600,E01000601,51.55324,-0.25869
601,E01000602,51.55138,-0.2645
602,E01000603,51.55047,-0.25849
603,E01000604,51.54832,-0.26718
604,E01000605,51.54486,-0.26818
605,E01000606,51.55805,-0.33085
606,E01000607,51.55602,-0.31112
607,E01000608,51.55823,-0.31548
608,E01000609,51.55576,-0.32349
609,E01000610,51.55475,-0.30553
610,E01000611,51.55288,-0.31762
611,E01000612,51.55031,-0.31025
612,E01000613,51.5601,-0.30631
613,E01000614,51.55839,-0.2827
614,E01000615,51.55787,-0.27278
615,E01000616,51.55608,-0.28981
616,E01000617,51.55259,-0.28149
617,E01000618,51.55056,-0.27575
618,E01000619,51.55156,-0.2709
619,E01000620,51.54648,-0.28143
620,E01000621,51.5467,-0.27485
621,E01000622,51.56755,-0.25439
622,E01000623,51.57234,-0.26507
623,E01000624,51.57316,-0.25648
624,E01000625,51.56789,-0.26305
625,E01000626,51.56166,-0.26089
626,E01000627,51.56112,-0.25608
627,E01000628,51.55729,-0.25535
628,E01000629,51.57558,-0.25941
629,E01000630,51.54962,-0.29245
630,E01000631,51.54825,-0.30418
631,E01000632,51.54415,-0.30035
632,E01000633,51.54944,-0.29925
633,E01000634,51.55535,-0.30139
634,E01000635,51.55417,-0.29555
635,E01000636,51.55185,-0.28841
636,E01000637,51.54953,-0.23206
637,E01000638,51.54689,-0.24146
638,E01000639,51.54904,-0.22732
639,E01000640,51.5475,-0.23665
640,E01000641,51.55168,-0.23968
641,E01000642,51.54772,-0.22424
642,E01000643,51.54158,-0.236
643,E01000644,51.54604,-0.23233
644,E01000645,51.4084,0.04594
645,E01000646,51.40647,0.03196
646,E01000647,51.40179,0.03132
647,E01000648,51.40088,0.03825
648,E01000649,51.40227,0.05379
649,E01000650,51.39578,0.05522
650,E01000651,51.39683,0.04296
651,E01000652,51.3922,0.05229
652,E01000653,51.41046,0.03688
653,E01000654,51.3005,0.02
654,E01000655,51.30547,0.01989
655,E01000656,51.31986,0.01563
656,E01000657,51.31353,0.03241
657,E01000658,51.32376,0.0349
658,E01000659,51.31027,0.02257
659,E01000660,51.30858,0.03733
660,E01000661,51.38413,0.03854
661,E01000662,51.38699,0.05
662,E01000663,51.3862,0.0609
663,E01000664,51.3809,0.05345
664,E01000665,51.37641,0.04356
665,E01000666,51.35835,0.0341
666,E01000667,51.36596,0.04594
667,E01000668,51.39172,0.03124
668,E01000669,51.39078,0.03832
669,E01000670,51.39549,0.01572
670,E01000671,51.39435,0.0249
671,E01000672,51.41465,0.00215
672,E01000673,51.41067,-0.0008
673,E01000674,51.4106,0.00737
674,E01000675,51.40368,0.01964
675,E01000676,51.40749,0.01392
676,E01000677,51.40413,0.00888
677,E01000678,51.40025,0.02431
678,E01000679,51.39722,0.03323
679,E01000680,51.34762,0.12009
680,E01000681,51.36705,0.0878
681,E01000682,51.36157,0.08433
682,E01000683,51.36448,0.09025
683,E01000684,51.35996,0.09835
684,E01000685,51.36036,0.11519
685,E01000686,51.3583,0.09119
686,E01000687,51.35116,0.09293
687,E01000688,51.35029,0.10293
688,E01000689,51.42397,0.07964
689,E01000690,51.42446,0.06911
690,E01000691,51.42291,0.0615
691,E01000692,51.42016,0.07068
692,E01000693,51.4122,0.08828
693,E01000694,51.41934,0.04743
694,E01000695,51.41558,0.0592
695,E01000696,51.40748,0.07061
696,E01000697,51.40859,0.05866
697,E01000698,51.39919,0.08805
698,E01000699,51.40641,-0.05977
699,E01000700,51.40576,-0.04545
700,E01000701,51.40649,-0.05288
701,E01000702,51.40885,-0.04715
702,E01000703,51.40695,-0.03789
703,E01000704,51.40244,-0.05781
704,E01000705,51.40412,-0.06464
705,E01000706,51.40235,-0.04973
706,E01000707,51.40398,-0.03944
707,E01000708,51.40083,-0.04323
708,E01000709,51.41026,-0.03408
709,E01000710,51.41841,-0.02903
710,E01000711,51.41427,-0.03097
711,E01000712,51.41268,-0.01991
712,E01000713,51.41106,-0.00997
713,E01000714,51.40866,-0.02646
714,E01000715,51.40744,-0.0168
715,E01000716,51.40495,-0.01025
716,E01000717,51.40442,-0.00412
717,E01000718,51.42096,-0.02578
718,E01000719,51.39636,0.11583
719,E01000720,51.38818,0.14036
720,E01000721,51.39209,0.12154
721,E01000722,51.39017,0.10847
722,E01000723,51.37837,0.12389
723,E01000724,51.38817,0.12019
724,E01000725,51.38545,0.10778
725,E01000726,51.38421,0.11598
726,E01000727,51.38316,0.09961
727,E01000728,51.40614,0.12772
728,E01000729,51.40557,0.10731
729,E01000730,51.39695,0.10652
730,E01000731,51.39616,0.09815
731,E01000732,51.39101,0.09366
732,E01000733,51.39179,0.10092
733,E01000734,51.3868,0.0938
734,E01000735,51.41145,0.10815
735,E01000736,51.40558,0.09529
736,E01000737,51.40484,0.10148
737,E01000738,51.40522,0.1128
738,E01000739,51.40052,0.10639
739,E01000740,51.41932,-0.0709
740,E01000741,51.41484,-0.07368
741,E01000742,51.41692,-0.06496
742,E01000743,51.41023,-0.06635
743,E01000744,51.40735,-0.06828
744,E01000745,51.42286,-0.06491
745,E01000746,51.41727,-0.07785
746,E01000747,51.33612,0.03281
747,E01000748,51.30663,0.0658
748,E01000749,51.33938,0.07436
749,E01000750,51.36327,0.06908
750,E01000751,51.3581,0.05638
751,E01000752,51.35803,0.07309
752,E01000753,51.37497,0.06624
753,E01000754,51.37588,0.0837
