id,name,host_id,latitude,longitude,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,review_scores_rating,,,,,,,,,,
3484629,Bijou Studio with Kitchenette in West Didsbury,17548094,53.42964,-2.23958,t,Apartment,Entire home/apt,2,1,1,1,Real Bed,$65.00 ,$395.00 ,$845.00 ,$85.00 ,$20.00 ,1,$0.00 ,98,,,,,,,,,,
3486590,Private room Bowdon S'th Manchester,12301938,53.37769,-2.35919,f,Apartment,Private room,2,1,1,1,Real Bed,$40.00 ,$210.00 ,,,,1,$8.00 ,99,,,,,,,,,,
3509448,Double Bedroom with breakfast,17669919,53.42198,-2.22155,t,House,Private room,1,1,1,1,Real Bed,$22.00 ,$200.00 ,$644.00 ,,,1,$0.00 ,89,,,,,,,,,,
3515670,"Spacious flat, Great location",17702198,53.47183,-2.24128,t,Apartment,Entire home/apt,3,1,1,1,Real Bed,$60.00 ,,,$400.00 ,$60.00 ,2,$8.00 ,91,,,,,,,,,,
3520653,Single room close to the university,2523846,53.44984,-2.22905,f,House,Private room,1,1,1,2,Real Bed,$52.00 ,$180.00 ,$300.00 ,$100.00 ,,1,$0.00 ,,,,,,,,,,,
3523749,Double Bedroom in Victorian Home (King Size Bed),17746047,53.42069,-2.18261,t,House,Private room,2,2,1,1,Real Bed,$42.00 ,,,,,1,$0.00 ,98,,,,,,,,,,
3556193,"Ayuda House B&B Bowdon, Cheshire, 5 rooms in total",11483160,53.37152,-2.36778,t,House,Private room,2,1,1,1,Real Bed,$59.00 ,$285.00 ,$950.00 ,,,2,$20.00 ,97,,,,,,,,,,
3588495,Spacious Garden Studio - Free Wi-Fi & Parking,,Manchester,"Hale, United Kingdom",GB,United Kingdom,53.37061,-2.34314,t,Apartment,Entire home/apt,2,1,Real Bed,"{TV,Wifi,Kitchen,""Free parking on premises"",""Free street parking"",""Indoor fireplace"",Heating,""Family/kid friendly"",Washer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox,""Private living room"",""Private entrance"",""Children’s books and toys"",""Pack ’n Play/travel crib"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Patio or balcony"",""Garden or backyard"",""Long term stays allowed""}",,$58.00 ,$350.00 ,,158,0,0,2.27,,,,,,,
3665223,Ellesmere Street - Roof Garden - Gay Host,3607304,53.47183,-2.26251,f,Apartment,Private room,2,1.5,1,1,Real Bed,$39.00 ,$240.00 ,$810.00 ,$0.00 ,$0.00 ,1,$15.00 ,99,,,,,,,,,,
3683808,"2 King beds, Central city apartment",16696508,53.48305,-2.2364,t,Apartment,Entire home/apt,4,2,2,2,Real Bed,$185.00 ,"$1,175.00 ","$4,500.00 ",$350.00 ,$0.00 ,1,$0.00 ,100,,,,,,,,,,
