id,title,coins,danmakus,follow,views,score,score_count,tags,long_review_count,short_review_count,state,ep,timestamp
6420,十二大战,48393,523120,1241904,34338805,7.7,11946,小说改 热血 战斗 ,159,5339,2,12,1583383972
28222619,刺客守则,74631,360575,1239777,26160560,6.5,17547,小说改 奇幻 战斗 魔法 ,53,7313,2,12,1583383972
964,魔法禁书目录 第二季,129016,1922604,1237974,27466878,9.0,6597,科幻 校园 战斗 热血 ,33,1795,2,24,1583383972
6470,无论何时我们的恋情都是10厘米。～告白实行委员会～,64441,225308,1236471,11285207,9.6,8579,恋爱 音乐 原创 校园 ,50,3292,2,6,1583383972
28222277,Fate/kaleid liner 魔法少女☆伊莉雅 Prisma☆Phantasm,19759,52746,1227653,2265784,9.7,5457,漫画改 校园 魔法 搞笑 ,10,1884,2,1,1583383972
28227496,伪恋,34915,230115,1227562,2808958,9.6,5756,漫画改 搞笑 日常 校园 ,22,2057,2,20,1583383972
2539,魔法少女小圆,65519,790125,1225994,15584946,9.8,19630,奇幻 魔法 穿越 原创 ,198,7451,2,12,1583383972
5534,我太受欢迎了该怎么办,64970,1135362,1222861,30197427,9.1,3056,乙女 漫画改 校园 ,10,1134,2,12,1583383972
5043,这个美术社大有问题！,122223,1061852,1219413,26789822,9.7,8396,校园 日常 ,30,2653,2,12,1583383972
67712,黑执事,52973,938038,1218827,15724078,9.8,8535,漫画改 ,72,3080,2,24,1583383972
5515,刀剑乱舞-花丸-,52623,1067606,1217910,21331485,9.6,2757,游戏改 日常 架空 ,14,999,2,12,1583383972
4181,漆黑的子弹,58840,624287,1197642,12374701,9.2,6479,奇幻 战斗 ,85,2333,2,13,1583383972
842,笨蛋，测验，召唤兽,53192,786461,1194344,17436284,9.7,6655,奇幻 校园 恋爱 小说改 ,18,2074,2,13,1583383972
3756,百变小樱,78499,3182035,1193450,29515936,9.8,12305,少女 魔法 ,75,4725,2,70,1583383972
28221410,COP CRAFT,94189,268752,1192832,21640337,9.1,28050,小说改 职场 奇幻 穿越 ,74,10754,2,13,1583383972
5776,URARA迷路帖,75445,654959,1189027,16418949,9.4,3644,漫画改 日常 架空 ,13,1252,2,12,1583383972
856,GOSICK,16785,53004,1186093,2004698,9.7,12741,萌系 奇幻 日常 催泪 ,144,4944,2,24,1583383972
102292,ISLAND ,73666,277373,1181667,18133683,9.2,9083,游戏改 催泪 推理 治愈 ,217,4389,2,12,1583383972
11912,爱吃拉面的小泉同学,56272,506608,1178728,20703555,9.2,7219,治愈 美食 漫画改 ,38,2860,2,12,1583383972
5022,热诚传说X,58256,758469,1174661,27579536,8.2,1411,热血 奇幻 战斗 架空 ,3,496,2,13,1583383972
132112,猫和老鼠 旧版,155087,544947,1173226,25676760,9.9,25678,搞笑 日常 ,28,8776,2,55,1583383972
28221404,街角魔族,140161,371238,1168177,22998571,9.8,25778,漫画改 日常 萌系 搞笑 ,33,9063,2,12,1583383972
1656,无头骑士异闻录,27012,881209,1162813,13927040,9.6,4941,奇幻 日常 声控 小说改 ,38,1651,2,26,1583383972
28226981,Q版！黑色四叶草,2010,2062,1148810,428898,9.7,636,搞笑 萌系 战斗 架空 ,0,230,2,8,1583383972
